GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,DelegatedAdministrationException,27,0,0,0,5,0,4,0,4,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,DefaultPasswordGenerator,629,0,138,0,157,0,87,0,18,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SyncopeBasicAuthenticationEntryPoint,14,0,0,0,4,0,2,0,2,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SecurityContext,101,0,0,0,22,0,15,0,15,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,UsernamePasswordAuthenticationProvider,314,0,18,0,66,0,21,0,12,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,JWTAuthenticationProvider,92,0,8,0,19,0,8,0,4,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,JWTAuthenticationFilter,112,0,8,0,26,0,8,0,4,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SyncopeAuthenticationDetails,71,0,8,0,25,0,10,0,6,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,AuthContextUtils,212,0,22,0,49,0,21,0,10,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,JWTAuthentication,62,0,0,0,17,0,10,0,10,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SecureRandomUtils,120,0,6,0,28,0,11,0,8,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SyncopeGrantedAuthority,103,0,6,0,32,0,12,0,9,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,MustChangePasswordFilter,47,0,8,0,12,0,9,0,5,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SyncopeAccessDeniedHandler,14,0,0,0,4,0,2,0,2,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,AuthDataAccessor,863,0,92,0,167,0,65,0,19,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SyncopeJWTSSOProvider.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,DefaultCredentialChecker,43,0,6,0,15,0,8,0,5,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,Encryptor,247,110,33,9,65,33,25,4,4,4
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SyncopeJWTSSOProvider,74,0,6,0,18,0,10,0,7,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SyncopeAuthenticationDetailsSource,8,0,0,0,2,0,2,0,2,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,WebSecurityContext,139,0,0,0,37,0,15,0,15,0
Apache Syncope Core Spring,org.apache.syncope.core.spring,ResourceWithFallbackLoader,70,0,4,0,18,0,11,0,9,0
Apache Syncope Core Spring,org.apache.syncope.core.spring,ImplementationManager,343,0,30,0,83,0,26,0,11,0
Apache Syncope Core Spring,org.apache.syncope.core.spring,ApplicationContextProvider,33,0,0,0,10,0,8,0,8,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.policy,HaveIBeenPwnedPasswordRule,145,0,16,0,37,0,16,0,8,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.policy,InvalidPasswordRuleConf,9,0,0,0,4,0,2,0,2,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.policy,PolicyException,3,4,0,0,2,2,1,1,1,1
Apache Syncope Core Spring,org.apache.syncope.core.spring.policy,AccountPolicyException,3,4,0,0,2,2,1,1,1,1
Apache Syncope Core Spring,org.apache.syncope.core.spring.policy,DefaultPasswordRule,185,354,17,83,42,59,21,51,12,10
Apache Syncope Core Spring,org.apache.syncope.core.spring.policy,PolicyPattern,0,73,0,0,0,15,0,1,0,1
Apache Syncope Core Spring,org.apache.syncope.core.spring.policy,PasswordPolicyException,3,4,0,0,2,2,1,1,1,1
Apache Syncope Core Spring,org.apache.syncope.core.spring.policy,DefaultAccountRule,115,150,7,21,26,29,12,20,8,10
Apache Syncope Core Spring,org.apache.syncope.core.spring.security.jws,AccessTokenJwsSignatureProvider,111,0,12,0,24,0,13,0,7,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security.jws,AccessTokenJwsSignatureVerifier,112,0,12,0,24,0,13,0,7,0
